Code Length,Code,Title Updated,Description Updated
4,1151,Support Activities for Crop Production,"This industry comprises establishments primarily engaged in providing support activities for growing crops.

Illustrative Examples:

Aerial crop dusting or spraying (i.e., using specialized or dedicated aircraft)
Farm management services
Cotton ginning
Planting crops
Cultivating services
Vineyard cultivation services


Cross-References. Establishments primarily engaged in--"
4,1152,Support Activities for Animal Production,"This industry comprises establishments primarily engaged in performing support activities related to raising livestock (e.g., cattle, goats, hogs, horses, poultry, sheep).  These establishments may perform one or more of the following: (1) breeding services for animals, including companion animals (e.g., cats, dogs, pet birds); (2) pedigree record services; (3) boarding horses; (4) dairy herd improvement activities; (5) livestock spraying; and (6) sheep dipping and shearing.

Cross-References."
4,1153,Support Activities for Forestry,"This industry comprises establishments primarily engaged in performing particular support activities related to timber production, wood technology, forestry economics and marketing, and forest protection.  These establishments may provide support activities for forestry, such as estimating timber, forest firefighting, forest pest control, treating burned forests from the air for reforestation or on an emergency basis, and consulting on wood attributes and reforestation.

Cross-References. Establishments primarily engaged in--"
4,2111,Oil and Gas Extraction,"This industry comprises establishments primarily engaged in (1) the exploration, development, and/or the production of petroleum from wells in which the hydrocarbons will initially flow or can be produced using normal or enhanced drilling and extraction techniques or (2) the production of crude petroleum from surface shales or tar sands or from reservoirs in which the hydrocarbons are semisolids.  Establishments in this industry operate oil wells on their own account or for others on a contract or fee basis.

Cross-References. Establishments primarily engaged in--"
4,2121,Coal Mining,"This industry comprises establishments primarily engaged in one or more of the following: (1) mining bituminous coal, anthracite coal, and lignite by underground mining, auger mining, strip mining, culm bank mining, and other surface mining; (2) developing coal mine sites; and (3) beneficiating (i.e., preparing) coal (e.g., cleaning, washing, screening, and sizing).

Cross-References. Establishments primarily engaged in--"
4,2122,Metal Ore Mining,"This industry group comprises establishments primarily engaged in developing mine sites or mining metallic minerals, and establishments primarily engaged in ore dressing and beneficiating (i.e., preparing) operations, such as crushing, grinding, washing, drying, sintering, concentrating, calcining, and leaching.  Beneficiating may be performed at mills operated in conjunction with the mines served or at mills, such as custom mills, operated separately.
"
4,2123,Nonmetallic Mineral Mining and Quarrying,"This industry group comprises establishments primarily engaged in developing mine sites, or in mining or quarrying nonmetallic minerals (except fuels).  Also included are certain well and brine operations, and preparation plants primarily engaged in beneficiating (e.g., crushing, grinding, washing, and concentrating) nonmetallic minerals.

Beneficiation is the process whereby the extracted material is reduced to particles which can be separated into mineral and waste, the former suitable for further processing or direct use.  The operations that take place in beneficiation are primarily mechanical, such as grinding, washing, magnetic separation, and centrifugal separation.  In contrast, manufacturing operations primarily use chemical and electrochemical processes, such as electrolysis and distillation.  However, some treatments, such as heat treatments, take place in both the beneficiation and the manufacturing (i.e., smelting/refining) stages.  The range of preparation activities varies by mineral and the purity of any given ore deposit.  While some minerals, such as petroleum and natural gas, require little or no preparation, others are washed and screened, while yet others, such as gold and silver, can be transformed into bullion before leaving the mine site.
"
4,2131,Support Activities for Mining,"This industry comprises establishments primarily engaged in providing support services, on a contract or fee basis (except geophysical surveying and mapping, mine site preparation, construction, and transportation activities), required for the mining and quarrying of minerals and for the extraction of oil and gas.  Drilling, taking core samples, and making geological observations at prospective sites for minerals, on a contract or fee basis, are included in this industry.

Cross-References. Establishments primarily engaged in--"
4,2211,"Electric Power Generation, Transmission and Distribution","This industry group comprises establishments primarily engaged in generating, transmitting, and/or distributing electric power.  Establishments in this industry group may perform one or more of the following activities: (1) operate generation facilities that produce electric energy; (2) operate transmission systems that convey the electricity from the generation facility to the distribution system; and (3) operate distribution systems that convey electric power received from the generation facility or the transmission system to the final consumer.
"
4,2212,Natural Gas Distribution,"This industry comprises: (1) establishments primarily engaged in operating gas distribution systems (e.g., mains, meters); (2) establishments known as gas marketers that buy gas from the well and sell it to a distribution system; (3) establishments known as gas brokers or agents that arrange the sale of gas over gas distribution systems operated by others; and (4) establishments primarily engaged in transmitting and distributing gas to final consumers.

Cross-References. Establishments primarily engaged in--"
4,2213,"Water, Sewage and Other Systems","This industry group comprises establishments primarily engaged in: (1) operating water treatment plants and/or water supply systems; (2) operating sewer systems or sewage treatment facilities; or (3) providing steam, heated air, or cooled air.
"
4,2361,Residential Building Construction,"This industry comprises establishments primarily responsible for the construction or remodeling and renovation of single-family and multifamily residential buildings.  Included in this industry are residential housing general contractors (i.e., new construction, remodeling, or renovating existing residential structures), for-sale builders and remodelers of residential structures, residential project construction management firms, and residential design-build firms.

Cross-References. Establishments primarily engaged in--"
4,2362,Nonresidential Building Construction,"This industry group comprises establishments primarily responsible for the construction (including new work, additions, alterations, maintenance, and repairs) of nonresidential buildings.  This industry group includes nonresidential general contractors, nonresidential for-sale builders, nonresidential design-build firms, and nonresidential project construction management firms.
"
4,2371,Utility System Construction,"This industry group comprises establishments primarily engaged in the construction of distribution lines and related buildings and structures for utilities (i.e., water, sewer, petroleum, gas, power, and communication).  All structures (including buildings) that are integral parts of utility systems (e.g., storage tanks, pumping stations, power plants, and refineries) are included in this industry group.
"
4,2372,Land Subdivision,"This industry comprises establishments primarily engaged in servicing land and subdividing real property into lots, for subsequent sale to builders.  Servicing of land may include excavation work for the installation of roads and utility lines.  The extent of work may vary from project to project.  Land subdivision precedes building activity and the subsequent building is often residential, but may also be commercial tracts and industrial parks.  These establishments may do all the work themselves or subcontract the work to others.  Establishments that perform only the legal subdivision of land are not included in this industry.

Cross-References. Establishments primarily engaged in--"
4,2373,"Highway, Street, and Bridge Construction","This industry comprises establishments primarily engaged in the construction of highways (including elevated), streets, roads, airport runways, public sidewalks, or bridges.  The work performed may include new work, reconstruction, rehabilitation, and repairs.  Specialty trade contractors are included in this industry if they are engaged in activities primarily related to highway, street, and bridge construction (e.g., installing guardrails on highways).

Illustrative Examples:

Airport runway construction
Highway line painting
Causeway construction
Painting traffic lanes or parking lot lines
Culverts, highway, road, and street, construction
Pothole filling, highway, road, street, or bridge
Elevated highway construction
Resurfacing, highway, road, street, or bridge
Guardrail construction
Sign erection, highway, road, street, or bridge 


Cross-References. Establishments primarily engaged in--"
4,2379,Other Heavy and Civil Engineering Construction,"This industry comprises establishments primarily engaged in heavy and civil engineering construction projects (excluding highway, street, bridge, and distribution line construction).  The work performed may include new work, reconstruction, rehabilitation, and repairs.  Specialty trade contractors are included in this industry if they are engaged in activities primarily related to heavy and civil engineering construction projects (excluding highway, street, bridge, distribution line, oil and gas structure, and utilities building and structure construction).  Construction projects involving water resources (e.g., dredging and land drainage), development of marine facilities, and projects involving open space improvement (e.g., parks and trails) are included in this industry.

Illustrative Examples:

Channel construction
Land drainage contractors
Dam construction
Marine construction
Dock construction
Microtunneling contractors
Dredging (e.g., canal, channel, ditch, waterway)
Nuclear waste disposal site construction
Earth retention system construction
Flood control project construction
Park ground and recreational open space improvement construction
Railroad construction
Golf course construction
Subway construction
Horizontal drilling (e.g., cable, pipeline, sewer installation)
Trenching, underwater
Hydroelectric generating station construction
Tunnel construction 


Cross-References. Establishments primarily engaged in--"
4,2381,"Foundation, Structure, and Building Exterior Contractors","This industry group comprises establishments primarily engaged in the specialty trades needed to complete the basic structure (i.e., foundation, frame, and shell) of buildings.  The work performed may include new work, additions, alterations, maintenance, and repairs.
"
4,2382,Building Equipment Contractors,"This industry group comprises establishments primarily engaged in installing or servicing equipment that forms part of a building mechanical system (e.g., electricity, water, heating, and cooling).  The work performed may include new work, additions, alterations, maintenance, and repairs.  Contractors installing specialized building equipment, such as elevators, escalators, service station equipment, and central vacuum cleaning systems, are also included.
"
4,2383,Building Finishing Contractors,"This industry group comprises establishments primarily engaged in the specialty trades needed to finish buildings.  The work performed may include new work, additions, alterations, maintenance, and repairs.
"
4,2389,Other Specialty Trade Contractors,"This industry group comprises establishments primarily engaged in site preparation activities and in specialized trades (except foundation, structure, and building exterior contractors; building equipment contractors; and building finishing contractors).  The specialty trade work performed includes new work, additions, alterations, maintenance, and repairs.
"
4,3111,Animal Food Manufacturing,"This industry comprises establishments primarily engaged in manufacturing food and feed for animals from ingredients, such as grains, oilseed mill products, and meat products.

Cross-References. Establishments primarily engaged in--"
4,3112,Grain and Oilseed Milling,"This industry group comprises establishments primarily engaged in milling flour or meal from grains or vegetables, manufacturing malt, wet milling corn and other vegetables, crushing oilseeds and tree nuts, refining and/or blending vegetable oils, and manufacturing breakfast cereals.
"
4,3113,Sugar and Confectionery Product Manufacturing,"This industry group comprises (1) establishments that process agricultural inputs, such as sugarcane, beet, and cacao, to give rise to a new product (sugar or chocolate) and (2) establishments that begin with sugar and chocolate and process these further.
"
4,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,"This industry group includes (1) establishments that freeze food and (2) establishments that use preservation processes, such as pickling, canning, and dehydrating.  Both types begin their production process with inputs of vegetable or animal origin.
"
4,3115,Dairy Product Manufacturing,"This industry group comprises establishments that manufacture dairy products from raw milk, processed milk, and dairy substitutes (except butter substitutes).
"
4,3116,Animal Slaughtering and Processing,"This industry comprises establishments primarily engaged in one or more of the following: (1) slaughtering animals; (2) preparing processed meats and meat byproducts; and (3) rendering and/or refining animal fat, bones, and meat scraps.  This industry includes establishments primarily engaged in assembly cutting and packing of meats (i.e., boxed meats) from purchased carcasses.

Cross-References. Establishments primarily engaged in--"
4,3117,Seafood Product Preparation and Packaging,"This industry comprises establishments primarily engaged in one or more of the following: (1) canning seafood (including soup); (2) smoking, salting, and drying seafood; (3) eviscerating fresh fish by removing heads, fins, scales, bones, and entrails; (4) shucking and packing fresh shellfish; (5) processing marine fats and oils; and (6) freezing seafood.  Establishments known as ""floating factory ships"" that are engaged in the gathering and processing of seafood into canned seafood products are included in this industry.
"
4,3118,Bakeries and Tortilla Manufacturing,"This industry group comprises establishments primarily engaged in one of the following: (1) manufacturing fresh and frozen bread and other bakery products; (2) retailing bread and other bakery products not for immediate consumption made on the premises from flour, not from prepared dough; (3) manufacturing cookies, crackers, and dry pasta; (4) manufacturing prepared flour mixes or dough from flour ground elsewhere; or (5) manufacturing tortillas.
"
4,3119,Other Food Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing food (except animal food; grain and oilseed milling; sugar and confectionery products; preserved fruits, vegetables, and specialty foods; dairy products; meat products; seafood products; and bakery products and tortillas).  This industry group includes industries with different production processes, such as snack food manufacturing; coffee and tea manufacturing; concentrate, syrup, condiment, and spice manufacturing; and, in general, an entire range of other miscellaneous food product manufacturing.
"
4,3121,Beverage Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing soft drinks and ice; purifying and bottling water; and manufacturing brewery, winery, and distillery products.
"
4,3122,Tobacco Manufacturing,"This industry comprises establishments primarily engaged in (1) stemming and redrying tobacco and/or (2) manufacturing cigarettes or other tobacco products.

Illustrative Examples:

Chewing tobacco manufacturing
Cigar manufacturing
Cigarettes manufacturing (except electronic)
Snuff manufacturing
Prepared pipe tobacco manufacturing
Tobacco leaf processing and aging


Cross-References. Establishments primarily engaged in--"
4,3131,"Fiber, Yarn, and Thread Mills","This industry comprises establishments primarily engaged in one or more of the following: (1) spinning yarn; (2) manufacturing thread of any fiber; (3) texturizing, throwing, twisting, and winding purchased yarn or manmade fibers and filaments; and (4) producing hemp yarn and further processing into rope or bags.

Cross-References."
4,3132,Fabric Mills,"This industry group comprises establishments primarily engaged in one of the following: (1) weaving broadwoven fabrics and felts (except tire fabrics and rugs); (2) weaving or braiding narrow fabrics; (3) making fabric-covered elastic yarn and thread; (4) manufacturing Schiffli machine embroideries; (5) manufacturing nonwoven fabrics and felts; (6) knitting weft (i.e., circular) and warp (i.e., flat) fabric; (7) knitting and finishing weft and warp fabric; (8) manufacturing lace; or (9) manufacturing, dyeing, and finishing lace and lace goods.
"
4,3133,Textile and Fabric Finishing and Fabric Coating Mills,"This industry group comprises establishments primarily engaged in one of the following: (1) finishing textiles, fabrics, and apparel; (2) converting fabrics and textiles by buying fabric goods in the grey, having them finished on contract, and selling them at wholesale; or (3) coating, laminating, varnishing, waxing, and rubberizing textiles and apparel.
"
4,3141,Textile Furnishings Mills,"This industry group comprises establishments primarily engaged in (1) manufacturing woven, tufted, and other carpets and rugs and (2) manufacturing household textile products from purchased materials.  The household textile products may be made on a stock or custom basis for sale to individual retail customers.
"
4,3149,Other Textile Product Mills,"This industry group comprises establishments primarily engaged in making textile products (except carpets and rugs, curtains and draperies, and other household textile products) from purchased materials.
"
4,3151,Apparel Knitting Mills,"This industry comprises establishments primarily engaged in knitting apparel or knitting fabric and then manufacturing apparel.  Jobbers, performing entrepreneurial functions involved in knitting apparel and accessories, are included.

Cross-References. Establishments primarily engaged in--"
4,3152,Cut and Sew Apparel Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing cut and sew apparel from woven fabric or purchased knit fabric.  Included in this industry group is a diverse range of establishments manufacturing full lines of ready-to-wear apparel and custom apparel: apparel contractors, performing cutting or sewing operations on materials owned by others; jobbers, performing entrepreneurial functions involved in apparel manufacturing; and tailors, manufacturing custom garments for individual clients.  Establishments weaving or knitting fabric, without manufacturing apparel, are classified in Subsector 313, Textile Mills.
"
4,3159,Apparel Accessories and Other Apparel Manufacturing,"This industry comprises establishments primarily engaged in manufacturing apparel and accessories (except apparel knitting mills, cut and sew apparel contractors, and cut and sew apparel manufacturing (except contractors)).  Jobbers, who perform entrepreneurial functions involved in apparel accessories manufacture, including buying raw materials, designing and preparing samples, arranging for apparel accessories to be made from their materials, and marketing finished apparel accessories, are included.  Examples of products made by these establishments are belts, caps, gloves (except medical, safety, sporting), hats, and neckties.

Cross-References. Establishments primarily engaged in--"
4,3161,Leather and Hide Tanning and Finishing,"This industry comprises establishments primarily engaged in one or more of the following: (1) tanning, currying, and finishing hides and skins; (2) having others process hides and skins on a contract basis; and (3) dyeing or dressing furs.
"
4,3162,Footwear Manufacturing,"This industry comprises establishments primarily engaged in manufacturing footwear (except orthopedic extension footwear).

Illustrative Examples:

Athletic shoes manufacturing
Ballet slippers manufacturing
Cleated athletic shoes manufacturing
Shoes, children's and infants' (except orthopedic extension), manufacturing
Shoes, men's (except orthopedic extension), manufacturing
Shoes, women's (except orthopedic extension), manufacturing


Cross-References."
4,3169,Other Leather and Allied Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing leather products (except footwear and apparel) from purchased leather or leather substitutes (e.g., fabric, plastics).

Illustrative Examples:

Billfolds, all materials, manufacturing
Boot and shoe cut stock and findings, leather, manufacturing
Dog furnishings (e.g., collars, harnesses, leashes, muzzles), manufacturing 
Luggage, all materials, manufacturing
Shoe soles, leather, manufacturing
Purses, women's, all materials (except metal), manufacturing
Toilet kits and cases (except metal) manufacturing
Watch bands (except metal) manufacturing
Welders' jackets, leggings, and sleeves, leather, manufacturing


Cross-References. Establishments primarily engaged in--"
4,3211,Sawmills and Wood Preservation,"This industry comprises establishments primarily engaged in one or more of the following: (1) sawing dimension lumber, boards, beams, timber, poles, ties, shingles, shakes, siding, and wood chips from logs or bolts; (2) sawing round wood poles, pilings, and posts and treating them with preservatives; and (3) treating wood sawed, planed, or shaped in other establishments with creosote or other preservatives to prevent decay and to protect against fire and insects.  Sawmills may plane the rough lumber that they make with a planing machine to achieve smoothness and uniformity of size.

Cross-References. Establishments primarily engaged in--"
4,3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing","This industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing veneer and/or plywood; (2) manufacturing engineered wood members; and (3) manufacturing reconstituted wood products.  This industry includes manufacturing plywood from veneer made in the same establishment or from veneer made in other establishments, and manufacturing plywood faced with nonwood materials, such as plastics or metal.

Illustrative Examples:

Fabricated structural wood members manufacturing
Laminated structural wood members manufacturing
Medium density fiberboard (MDF) manufacturing
Oriented strandboard (OSB) manufacturing
Particleboard manufacturing
Plywood manufacturing
Reconstituted wood sheets and boards manufacturing
Roof trusses, wood, manufacturing
Veneer mills
Waferboard manufacturing


Cross-References. Establishments primarily engaged in--"
4,3219,Other Wood Product Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing wood products (except establishments operating sawmills and wood preservation facilities; and establishments manufacturing veneer, plywood, or engineered wood products).
"
4,3221,"Pulp, Paper, and Paperboard Mills","This industry group comprises establishments primarily engaged in manufacturing pulp, paper, or paperboard."
4,3222,Converted Paper Product Manufacturing,"This industry group comprises establishments primarily engaged in converting paper or paperboard without manufacturing paper or paperboard.
"
4,3231,Printing and Related Support Activities,"This industry comprises establishments primarily engaged in printing on apparel and textile products, paper, metal, glass, plastics, and other materials, except fabric (grey goods).  The printing processes employed include, but are not limited to, lithographic, gravure, screen, flexographic, digital, and letterpress.  Establishments in this industry do not manufacture the stock that they print, but may perform postprinting activities, such as folding, cutting, or laminating the materials they print, and mailing.

Cross-References. Establishments primarily engaged in--"
4,3241,Petroleum and Coal Products Manufacturing,"This industry comprises establishments primarily engaged in refining crude petroleum into refined petroleum.  Petroleum refining involves one or more of the following activities: (1) fractionation; (2) straight distillation of crude oil; and (3) cracking.

Cross-References. Establishments primarily engaged in--"
4,3251,Basic Chemical Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing chemicals using basic processes, such as thermal cracking and distillation.  Chemicals manufactured in this industry group are usually separate chemical elements or separate chemically-defined compounds.
"
4,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing","This industry group comprises establishments primarily engaged in one of the following: (1) manufacturing synthetic resins, plastics materials, and nonvulcanizable elastomers and mixing and blending resins on a custom basis; (2) manufacturing noncustomized synthetic resins; (3) manufacturing synthetic rubber; (4) manufacturing cellulosic (e.g., rayon, acetate) and noncellulosic (e.g., nylon, polyolefin, polyester) fibers and filaments in the form of monofilament, filament yarn, staple, or tow; or (5) manufacturing and texturizing cellulosic and noncellulosic fibers and filaments.
"
4,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing","This industry group comprises establishments primarily engaged in one or more of the following: (1) manufacturing nitrogenous or phosphatic fertilizer materials; (2) manufacturing fertilizers from sewage or animal waste; (3) manufacturing nitrogenous or phosphatic materials and mixing with other ingredients into fertilizers; (4) mixing ingredients made elsewhere into fertilizers; (5) manufacturing compost; and (6) formulating and preparing pesticides and other agricultural chemicals.
"
4,3254,Pharmaceutical and Medicine Manufacturing,"This industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing biological and medicinal products; (2) processing (i.e., grading, grinding, and milling) botanical drugs and herbs; (3) isolating active medicinal principals from botanical drugs and herbs; and (4) manufacturing pharmaceutical products intended for internal and external consumption in such forms as ampoules, tablets, capsules, vials, ointments, powders, solutions, and suspensions.
"
4,3255,"Paint, Coating, and Adhesive Manufacturing","This industry group comprises establishments primarily engaged in one or more of the following: (1) mixing pigments, solvents, and binders into paints and other coatings; (2) manufacturing allied paint products; and (3) manufacturing adhesives, glues, and caulking compounds.
"
4,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing","This industry group comprises establishments primarily engaged in (1) manufacturing and packaging soaps, detergents, polishes, surface active agents, textile and leather finishing agents, and other sanitation goods or (2) preparing, blending, compounding, and packaging toilet preparations.
"
4,3259,Other Chemical Product and Preparation Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing chemical products (except basic chemicals; resins, synthetic rubber, cellulosic and noncellulosic fibers and filaments; pesticides, fertilizers, and other agricultural chemicals; pharmaceuticals and medicines; paints, coatings, and adhesives; soaps and cleaning compounds; and toilet preparations).
"
4,3261,Plastics Product Manufacturing,"This industry group comprises establishments primarily engaged in processing new or spent (i.e., recycled) plastics resins into intermediate or final products, using such processes as compression molding; extrusion molding; injection molding; blow molding; and casting.  Within most of these industries, the production process is such that a wide variety of products can be made.
"
4,3262,Rubber Product Manufacturing,"This industry group comprises establishments primarily engaged in processing natural, synthetic, or reclaimed rubber materials into intermediate or final products using processes, such as vulcanizing, cementing, molding, extruding, and lathe-cutting.
"
4,3271,Clay Product and Refractory Manufacturing,"This industry group comprises establishments primarily engaged in (1) shaping, molding, glazing, and firing pottery, ceramics, and plumbing fixtures, and electrical supplies made entirely or partly of clay or other ceramic materials or (2) shaping, molding, baking, burning, or hardening clay refractories, nonclay refractories, ceramic tile, structural clay tile, brick, and other structural clay building materials.
"
4,3272,Glass and Glass Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing glass and/or glass products.  Establishments in this industry may manufacture glass and/or glass products by melting silica sand or cullet, or from purchased glass.

Cross-References. Establishments primarily engaged in--"
4,3273,Cement and Concrete Product Manufacturing,"This industry group comprises establishments primarily engaged in one of the following: (1) manufacturing Portland, natural, masonry, pozzolanic, and other hydraulic cements; (2) acting as batch or mixing plants, manufacturing concrete delivered to a purchaser in a plastic and unhardened state; (3) manufacturing concrete pipe, brick, and block; or (4) manufacturing other concrete products (except block, brick, and pipe).
"
4,3274,Lime and Gypsum Product Manufacturing,"This industry group comprises establishments primarily engaged in (1) manufacturing lime from calcitic limestone, dolomitic limestone, or other calcareous materials or (2) manufacturing gypsum products.
"
4,3279,Other Nonmetallic Mineral Product Manufacturing,"This industry group comprises establishments manufacturing nonmetallic mineral products (except clay products, refractory products, glass products, cement and concrete products, lime, and gypsum products).
"
4,3311,Iron and Steel Mills and Ferroalloy Manufacturing,"This industry comprises establishments primarily engaged in one or more of the following: (1) direct reduction of iron ore; (2) manufacturing pig iron in molten or solid form; (3) converting pig iron into steel; (4) making steel; (5) making steel and manufacturing shapes (e.g., bar, plate, rod, sheet, strip, wire); (6) making steel and forming pipe and tube; and (7) manufacturing electrometallurgical ferroalloys. Ferroalloys add critical elements, such as silicon and manganese for carbon steel and chromium, vanadium, tungsten, titanium, and molybdenum for low- and high-alloy metals.  Ferroalloys include iron-rich alloys and more pure forms of elements added during the steel manufacturing process that alter or improve the characteristics of the metal.

Cross-References. Establishments primarily engaged in--"
4,3312,Steel Product Manufacturing from Purchased Steel,"This industry group comprises establishments primarily engaged in manufacturing iron and steel tube and pipe, drawing steel wire, and rolling or drawing shapes from purchased iron or steel.
"
4,3313,Alumina and Aluminum Production and Processing,"This industry comprises establishments primarily engaged in one or more of the following: (1) refining alumina; (2) making (i.e., the primary production) aluminum from alumina; (3) recovering aluminum from scrap or dross; (4) alloying purchased aluminum; and (5) manufacturing aluminum primary forms (e.g., bar, foil, pipe, plate, rod, sheet, tube, wire).

Cross-References. Establishments primarily engaged in--"
4,3314,Nonferrous Metal (except Aluminum) Production and Processing,"This industry group comprises establishments primarily engaged in nonferrous metal (except aluminum) smelting, refining, rolling, drawing, extruding, and alloying.
"
4,3315,Foundries,"This industry group comprises establishments primarily engaged in pouring molten metal into molds or dies to form castings.  Establishments making castings and further manufacturing, such as machining or assembling, a specific manufactured product are classified in the industry of the finished product.  Foundries may perform operations, such as cleaning and deburring, on the castings they manufacture.  More involved processes, such as tapping, threading, milling, or machining to tight tolerances, that transform castings into more finished products are classified elsewhere in the Manufacturing sector based on the product made.

Establishments in this industry group make castings from purchased metals or in integrated secondary smelting and casting facilities.  When the production of primary metals is combined with making castings, the establishment is classified in Subsector 331, Primary Metal Manufacturing, with the primary metal made.
"
4,3321,Forging and Stamping,"This industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing forgings from purchased metals; (2) manufacturing metal custom roll forming products; (3) manufacturing metal stamped and spun products (except automotive, cans, coins); and (4) manufacturing powder metallurgy products.  Establishments making metal forgings, metal stampings, and metal spun products and further manufacturing (e.g., machining, assembling) a specific manufactured product are classified in the industry of the finished product.  Metal forging, metal stamping, and metal spun products establishments may perform surface finishing operations, such as cleaning and deburring, on the products they manufacture.

Cross-References. Establishments primarily engaged in--"
4,3322,Cutlery and Handtool Manufacturing,"This industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing metal kitchen cookware (except by casting (e.g., cast iron skillets) or stamped without further fabrication), utensils, and/or nonprecious and precious plated metal cutlery and flatware; (2) manufacturing saw blades, all types (including those for power sawing machines); and (3) manufacturing nonpowered handtools and edge tools.

Cross-References. Establishments primarily engaged in--"
